Date,Price,Open,High,Low,Vol.,Change %
04/28/2020,10795.63,10658.47,10897.82,10651.58,146.55M,1.27%
04/27/2020,10659.99,10551.07,10660.36,10523.10,122.48M,3.13%
04/24/2020,10336.09,10299.31,10486.47,10299.31,120.04M,-1.69%
04/23/2020,10513.79,10437.38,10608.39,10325.11,97.91M,0.95%
04/22/2020,10415.03,10370.25,10425.02,10321.20,92.39M,1.61%
04/21/2020,10249.85,10519.44,10524.73,10249.85,121.19M,-3.99%
04/20/2020,10675.90,10704.35,10707.31,10444.55,103.61M,0.47%
04/17/2020,10625.78,10607.35,10756.78,10542.71,143.34M,3.15%
04/16/2020,10301.54,10420.26,10438.37,10236.24,106.13M,0.21%
04/15/2020,10279.76,10678.19,10678.19,10243.11,133.09M,-3.90%
04/14/2020,10696.56,10733.97,10820.17,10658.96,106.04M,1.25%
04/09/2020,10564.74,10490.65,10649.79,10311.70,134.48M,2.24%
04/08/2020,10332.89,10301.56,10340.79,10198.22,102.43M,-0.23%
04/07/2020,10356.70,10464.11,10590.41,10225.02,149.51M,2.79%
04/06/2020,10075.17,9889.03,10097.31,9841.49,126.69M,5.77%
04/03/2020,9525.77,9535.27,9626.72,9470.20,116.25M,-0.47%
04/02/2020,9570.82,9587.45,9650.27,9337.02,144.23M,0.27%
04/01/2020,9544.75,9610.67,9686.46,9498.05,132.86M,-3.94%
03/31/2020,9935.84,9970.79,10096.42,9703.88,151.51M,1.22%
03/30/2020,9815.97,9725.88,9817.51,9453.79,131.12M,1.90%
03/27/2020,9632.52,9793.50,9886.18,9541.83,156.14M,-3.68%
03/26/2020,10000.96,9621.24,10000.96,9526.17,160.45M,1.28%
03/25/2020,9874.26,9987.37,10137.62,9460.91,204.69M,1.79%
03/24/2020,9700.57,9242.06,9700.57,9102.17,203.84M,10.98%
03/23/2020,8741.15,8536.33,9071.14,8480.28,197.21M,-2.10%
03/20/2020,8928.95,9080.49,9201.07,8838.30,286.47M,3.70%
03/19/2020,8610.43,8495.94,8668.48,8257.53,205.54M,2.00%
03/18/2020,8441.71,8613.35,8670.41,8400.18,207.56M,-5.56%
03/17/2020,8939.10,9141.17,9145.93,8423.56,220.09M,2.25%
03/16/2020,8742.25,8728.48,8967.11,8255.65,302.20M,-5.31%
03/13/2020,9232.08,9480.78,9985.74,9064.68,325.90M,0.77%
03/12/2020,9161.13,9863.99,9932.56,9139.12,390.48M,-12.24%
03/11/2020,10438.68,10601.85,10761.43,10390.51,216.71M,-0.35%
03/10/2020,10475.49,10724.98,11032.29,10423.90,267.40M,-1.41%
03/09/2020,10625.02,10690.08,10995.22,10556.64,305.32M,-7.94%
03/06/2020,11541.87,11694.56,11769.85,11447.20,195.04M,-3.37%
03/05/2020,11944.72,12191.41,12207.77,11844.88,148.09M,-1.51%
03/04/2020,12127.69,11992.59,12199.82,11929.24,147.85M,1.19%
03/03/2020,11985.39,12013.06,12272.99,11906.82,195.94M,1.08%
03/02/2020,11857.87,12030.27,12121.60,11624.63,207.21M,-0.27%
02/28/2020,11890.35,11891.87,12008.59,11724.12,274.62M,-3.86%
02/27/2020,12367.46,12526.60,12593.62,12211.63,191.24M,-3.19%
02/26/2020,12774.88,12682.16,12849.17,12368.05,163.62M,-0.12%
02/25/2020,12790.49,13132.04,13132.04,12778.66,129.55M,-1.88%
02/24/2020,13035.24,13231.38,13236.58,12982.14,165.15M,-4.01%
02/21/2020,13579.33,13609.94,13689.23,13500.50,108.77M,-0.62%
02/20/2020,13664.00,13774.44,13788.41,13664.00,86.44M,-0.91%
02/19/2020,13789.00,13751.05,13789.00,13710.78,90.19M,0.79%
02/18/2020,13681.19,13668.94,13731.39,13660.45,82.09M,-0.75%
02/17/2020,13783.89,13770.67,13795.24,13754.04,57.40M,0.29%
02/14/2020,13744.21,13756.47,13788.51,13728.12,66.32M,-0.01%
02/13/2020,13745.43,13695.93,13745.43,13576.96,92.09M,-0.03%
02/12/2020,13749.78,13671.15,13758.70,13658.15,86.73M,0.89%
02/11/2020,13627.84,13604.74,13668.43,13557.96,104.75M,0.99%
02/10/2020,13494.03,13476.00,13501.74,13445.41,60.46M,-0.15%
02/07/2020,13513.81,13530.77,13551.03,13463.98,87.04M,-0.45%
